"STATEFIP","AGE.CAT","EDUC.CAT","INC.CAT","SEX","cell.freq","state.freq","cell.percent","region","region.alpha","state.name","state.alpha","dis.index.08","black.pct.08","black.poverty.08","gini.08"
2,3,1,4,0,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,4,4,1,0,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,4,1,3,1,3,256,0.01171875,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,2,4,0,4,256,0.015625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,1,2,1,1,1,256,0.00390625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,2,2,3,1,3,256,0.01171875,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,4,2,3,1,4,256,0.015625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,4,2,0,1,256,0.00390625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,1,4,2,0,1,256,0.00390625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,4,3,1,1,1,256,0.00390625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,1,3,3,1,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,1,1,2,0,3,256,0.01171875,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,2,3,3,0,2,256,0.0078125,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,4,1,0,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,2,1,1,1,5,256,0.01953125,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,3,2,1,1,256,0.00390625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,4,3,0,2,256,0.0078125,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,2,2,1,1,3,256,0.01171875,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,2,3,4,1,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,1,1,0,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,4,3,2,0,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,1,2,3,1,2,256,0.0078125,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,2,3,0,1,256,0.00390625,4,"West","Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
